grdc_no,wmo_reg,sub_reg,mix_reg,nat_id,river,station,country_code,lat,long,area,altitude,ds_stat_no,w_level,d_start,d_end,d_yrs,d_miss,m_start,m_end,m_yrs,m_miss,t_start,t_end,t_yrs,lta_discharge,r_volume_yr,r_height_yr,proc_tyrs,proc_tmon,f_import,f_im_yr,l_import,l_im_yr,provider_id,acsys,flux2ocean,gems,gcos_gtn-h,statistics,Pristine Basins,GRDC Reference Dataset,AdaptAlp,ArctHycos
3652230,3,52,352,53180000,RIO CACHOEIRA,CONTORNO DA BR-101,BR,-14.815,-39.296,   3695.  ,49,0,0,1970,2010,41,2.67,1970,1979,10,0.00,1970,2010,41,     23.28,       .73,199, 95.1, 98.9,21.8.1992,1992,24.1.2011,2011,58,0,0,0,0,1,0,0,0,0
3652320,3,52,352,53950000,RIO PRADO,MASCOTE,BR,-15.559,-39.308,  30360.  ,4,0,0,1936,2010,75,4.70,1936,1979,44,5.34,1936,2010,75,     74.77,      2.36,78, 90.7, 99.4,15.10.1996,1996,24.1.2011,2011,58,0,1,0,1,1,0,1,0,0
3652350,3,52,352,53780000,RIO CATOLE GRANDE,ITAPETINGA,BR,-15.241,-40.233,   2810.  ,240,3652320,0,1949,2010,62,2.87,1950,1979,30,2.22,1949,2010,62,     14.11,       .45,158, 91.9, 98.8,13.1.1992,1992,24.1.2011,2011,58,0,0,0,0,1,0,0,0,0
3652410,3,52,352,54230000,RIO ARACUAI,CARBONITA,BR,-17.579,-42.995,   2535.  ,-999,3652419,0,1969,2010,42,9.83,1969,1982,14,2.55,1969,2010,42,     30.09,       .95,374, 83.3, 99.8,13.1.1992,1992,24.1.2011,2011,58,0,0,0,0,1,0,0,0,0
3652419,3,52,352,54500000,RIO ARACUAI,ARACUAI,BR,-16.850,-42.063,  16230.  ,270,3652450,0,1931,2010,80,0.67,1931,1983,53,0.32,1931,2010,80,     96.76,      3.05,188, 96.3, 99.9,15.10.1996,1996,24.1.2011,2011,58,0,0,0,0,1,0,0,0,0
3652450,3,52,352,54780000,RIO JEQUITINHONHA,JACINTO,BR,-16.139,-40.307,  63300.  ,160,3652455,0,1941,2010,70,2.58,1943,1978,36,0.00,1941,2010,70,    375.93,     11.86,187, 92.9, 99.7,18.2.1992,1992,24.1.2011,2011,58,0,1,0,0,1,0,1,0,0
3652455,3,52,352,54950000,RIO JEQUITINHONHA,ITAPEBI,BR,-15.948,-39.524,  67769.  ,-999,0,0,1936,2010,75,3.56,1936,1996,61,9.07,1936,2010,75,    420.96,     13.28,196, 93.3, 98.8,24.3.2004,2004,24.1.2011,2011,58,0,0,0,1,1,0,0,0,0
3652500,3,52,352,55700000,MUCURI,NANUQUE,BR,-17.833,-40.350,  14174.  ,-999,0,0,1943,1980,38,5.54,1965,1999,35,0.48,1943,1999,57,    105.55,      3.33,235,100. , 99.9,28.4.2004,2004,24.1.2011,2011,58,0,0,0,1,1,0,0,0,0
3652600,3,52,352,56998000,RIO DOCE,LINHARES,BR,-19.408,-40.064,  78456.  ,-999,0,0,1967,1994,28,6.00,1967,1993,27,6.03,1967,1994,28,    962.28,     30.35,387, 89.3, 98.7,24.3.2004,2004,24.1.2011,2011,58,0,0,0,1,1,0,0,0,0
3652610,3,52,352,56335001,"RIO DO CARMO (TRIB. RIO MANHUACU, DOCE)",ACAIACA - JUSANTE,BR,-20.361,-43.139,   1371.  ,515,3652600,0,1975,2010,36,5.58,1940,1985,46,71.08,1940,2010,71,     31.15,       .98,717, 45.1, 99. ,13.1.1992,1992,24.1.2011,2011,58,0,0,0,0,0,0,0,0,0
3652630,3,52,352,56695000,RIO PIRACICABA,ACESITA,BR,-19.533,-42.633,   5130.  ,-999,3652600,0,1974,1985,12,3.58,1978,1980,3,0.00,1974,1985,12,    103.22,      3.26,635, 75. , 99.1,13.1.1992,1992,24.1.2011,2011,58,0,0,0,0,0,0,0,0,0
3652660,3,52,352,56990000,RIO MANHUACU,SAO SEBASTIAO DA ENCRUZILHADA,BR,-19.493,-41.162,   8810.  ,-999,3652600,0,1938,2010,73,1.56,1978,1980,3,0.00,1938,2010,73,     97.13,      3.06,348, 95.9, 99.6,13.1.1992,1992,24.1.2011,2011,58,0,0,0,0,0,0,0,0,0
3652810,3,52,352,58099000,PARAIBA DO SUL,SANTA BRANCA,BR,-23.369,-45.902,   4935.  ,573,3652880,0,1952,2010,59,5.57,1978,1980,3,0.00,1952,2010,59,     77.29,      2.44,494, 89.8,100. ,13.1.1992,1992,24.1.2011,2011,58,0,0,0,0,0,0,0,0,0
3652850,3,52,352,58520000,RIO PAREIBUNA,SOBRAJI,BR,-21.966,-43.373,   3645.  ,444,3652880,0,1952,2010,59,1.20,1978,1980,3,0.00,1952,2010,59,     76.11,      2.4 ,659, 96.6, 99.7,13.1.1992,1992,24.1.2011,2011,58,0,0,0,0,0,0,0,0,0
3652870,3,52,352,58770000,RIO POMBA,CATAGUASES,BR,-21.389,-42.696,   5858.  ,169,3652879,0,1934,2010,77,0.59,1934,1992,59,15.35,1934,2010,77,     98.45,      3.11,530, 98.7, 99.9,13.1.1992,1992,24.1.2011,2011,58,0,0,0,0,1,0,0,0,0
3652879,3,52,352,58790000,RIO POMBA,SANTO ANTONIO DE PADUA,BR,-21.542,-42.181,   8245.  ,86,3652880,0,1935,2002,68,0.08,1935,1992,58,3.64,1935,2002,68,    129.16,      4.07,494,100. , 99.9,15.10.1996,1996,24.1.2011,2011,58,0,0,0,0,1,0,0,0,0
3652880,3,52,352,58880001,PARAIBA DO SUL,SAO FIDELIS,BR,-21.645,-41.752,  46731.  ,-999,3652890,0,1974,2010,37,2.08,1974,1992,19,3.64,1974,2010,37,    636.2 ,     20.06,429, 91.9, 99.5,15.10.1996,1996,24.1.2011,2011,58,0,0,0,0,1,0,0,0,0
3652890,3,52,352,58974000,PARAIBA DO SUL,CAMPOS - PONTE MUNICIPAL,BR,-21.753,-41.300,  55500.  ,14,0,0,1934,2010,77,1.47,1928,1999,72,0.93,1928,2010,83,    810.93,     25.57,461, 98.8, 99.5,18.2.1992,1992,24.1.2011,2011,58,0,1,0,1,1,0,1,0,0
3652910,3,52,352,59100000,RIO MACABU,MACABUZINHO,BR,-22.086,-41.739,    626.  ,30,3652890,0,1930,2010,81,3.78,1930,1993,64,4.34,1930,2010,81,     12.4 ,       .39,625, 93.8, 99.3,13.1.1992,1992,24.1.2011,2011,58,0,0,0,0,0,0,0,0,0
3652950,3,52,352,59235000,RIO MACACU,CACHOEIRAS DE MACACU,BR,-22.483,-42.667,    148.  ,30,3652955,0,1931,1978,48,0.62,1935,1978,44,3.22,1931,1978,48,      8.85,       .28,1886,100. , 99.1,13.1.1992,1992,24.1.2011,2011,58,0,0,0,0,0,0,0,0,0
3652955,3,52,352,59240000,RIO MACACU,PARQUE RIBEIRA,BR,-22.589,-42.736,    287.  ,8,0,0,1969,2010,42,2.82,1969,1993,25,3.75,1969,2010,42,     10.33,       .33,1134, 92.9, 98.3,15.10.1996,1996,24.1.2011,2011,58,0,0,0,0,0,0,0,0,0
3652980,3,52,352,59355000,RIO MAMBUCABA,FAZENDA DAS GARRAFAS,BR,-22.737,-44.617,     22.  ,1494,3652985,0,1978,2010,33,1.87,1978,1993,16,3.83,1978,2010,33,       .85,       .03,1224, 93.9, 99.7,13.1.1992,1992,24.1.2011,2011,58,0,0,0,0,0,0,0,0,0
3652985,3,52,352,59370000,RIO MAMBUCABA,FAZENDA FORTALEZA,BR,-22.958,-44.561,    597.  ,130,0,0,1935,2010,76,3.89,1935,1993,59,17.97,1935,2010,76,     22.95,       .72,1212, 90.8, 98.4,15.10.1996,1996,24.1.2011,2011,58,0,0,0,0,0,0,0,0,0
3653110,3,53,353,81135000,RIO RIBEIRA DO IGUAPE,BALSA DO CERRO AZUL,BR,-24.796,-49.273,   4570.  ,270,3653120,0,1930,2005,76,1.02,1930,1995,66,1.03,1930,2005,76,     74.56,      2.35,515, 97.4, 99.4,13.1.1992,1992,24.1.2011,2011,58,0,0,0,0,1,0,0,0,0
3653120,3,53,353,81350000,RIO RIBEIRA DO IGUAPE,IPORANGA (PCD),BR,-24.586,-48.592,  12450.  ,73,0,0,1941,2007,67,0.52,1938,1975,38,0.00,1938,2007,70,    190.89,      6.02,484, 97.1,100. ,28.4.2004,2004,24.1.2011,2011,58,0,0,0,1,1,0,0,0,0
3653180,3,53,353,81530000,RIO JUQUIA,BARRA DO ACUNGUI,BR,-24.206,-47.613,   2470.  ,22,3653181,0,1951,2007,57,1.88,1951,1986,36,2.85,1951,2007,57,     68.02,      2.15,868, 96.5, 99.1,13.1.1992,1992,24.1.2011,2011,58,0,0,0,0,0,0,0,0,0
3653181,3,53,353,81680000,RIO JUQUIA,JUQUIA 1,BR,-24.317,-47.633,   4383.  ,15,0,0,1937,1980,44,0.00,1937,1979,43,30.00,1937,1980,44,    125.9 ,      3.97,906, 97.7,100. ,13.1.1992,1992,24.1.2011,2011,58,0,0,0,0,1,0,0,0,0
3653250,3,53,353,82350000,RIO ITAPOCU,JARAGUA DO SUL,BR,-26.480,-49.081,    796.  ,37,0,0,1939,2006,68,0.42,1978,1980,3,0.00,1939,2006,68,     26.92,       .85,1067, 98.5, 99.6,13.1.1992,1992,24.1.2011,2011,58,0,0,0,0,0,0,0,0,0
3653350,3,53,353,83500002,RIO ITAJAI-ACU,APIUNA,BR,-27.037,-49.388,   9242.  ,93,3653352,0,1934,1997,64,0.78,1978,1980,3,0.00,1934,1997,64,    166.08,      5.24,567, 98.4,100. ,13.1.1992,1992,24.1.2011,2011,58,0,0,0,0,0,0,0,0,0
3653352,3,53,353,83800002,RIO ITAJAI-ACU,BLUMENAU,BR,-26.918,-49.065,  11803.  ,12,0,0,1939,2004,66,5.78,1939,1989,51,3.29,1939,2004,66,    363.43,     11.46,971, 89.4, 99.7,22.10.1996,1996,24.1.2011,2011,58,0,0,0,0,1,0,0,0,0
3653400,3,53,353,87040000,RIO JACUI,PASSO DO RASO,BR,-29.967,-51.450,  71454.  ,-999,0,0,1972,1977,6,0.00,1972,1977,6,0.00,1972,1977,6,   1592.03,     50.21,703, 66.7,100. ,24.3.2004,2004,24.1.2011,2011,58,0,0,1,1,0,0,0,0,0
3653450,3,53,353,84580000,RIO TUBARAO,RIO DO POUSO,BR,-28.419,-49.107,   2740.  ,15,0,0,1939,2004,66,1.76,1939,1995,57,1.34,1939,2004,66,     66.88,      2.11,770, 93.9, 99.7,13.1.1992,1992,24.1.2011,2011,58,0,0,0,0,1,0,0,0,0
3653510,3,53,353,85580000,RIO VACACAI,PASSO DO VERDE,BR,-29.933,-53.717,   5343.  ,20,3653400,0,1967,1984,18,2.19,1978,1979,2,4.17,1967,1984,18,     81.98,      2.59,484,100. , 97.7,13.1.1992,1992,24.1.2011,2011,58,0,0,0,0,0,0,0,0,0
3653550,3,53,353,85730000,RIO PRADO (TRIB. RIO JACUI),PASSO LINHA DO RIO,BR,-29.600,-52.783,   1228.  ,50,3653400,0,1969,1986,18,0.52,1969,1983,15,1.22,1969,1986,18,     33.07,      1.04,849, 94.4, 99.5,13.1.1992,1992,24.1.2011,2011,58,0,0,0,0,0,0,0,0,0
3653620,3,53,353,86500000,RIO CARREIRO,PASSO CARREIRO,BR,-28.849,-51.833,   1829.  ,260,3653400,0,1939,2010,72,4.17,1939,1982,44,3.09,1939,2010,72,     43.65,      1.38,753, 90.3, 99.6,13.1.1992,1992,24.1.2011,2011,58,0,0,0,0,0,0,0,0,0
3653710,3,53,353,87590000,RIO CAMAQUA,PASSO DO CACAO,BR,-30.961,-53.489,   4069.  ,120,0,0,1973,2008,36,13.33,1973,1985,13,15.97,1973,2008,36,     81.13,      2.56,629, 77.8, 96.7,13.1.1992,1992,24.1.2011,2011,58,0,0,0,0,1,0,0,0,0
3653770,3,53,353,87400000,RIO GRAVATAI,PASSO DAS CANOAS,BR,-29.957,-51.007,   1660.  ,0,0,0,1978,1980,3,0.18,1978,1980,3,0.00,1978,1980,3,     16.32,       .52,310,100. ,100. ,13.1.1992,1992,4.6.1996,1996,-999,0,0,0,0,0,0,0,0,0
